ERROR NR.:      1925; MESS:Unknown member SEEKLAUSEND.; CODE:RETURN thisform.seeklausend.journalid; PROC:unload; LINE:         1; ALIAS:COMDOKPROP recno: 124; VERSIA:; KPV:29.08.2024 15:12:42;
ERROR NR.:      1238; MESS:No PARAMETER statement is found.; CODE:do form seeklausend WITH 1 TO l_journal_id; PROC:click; LINE:         2; ALIAS:COMDOKPROP recno: 124; VERSIA:; KPV:29.08.2024 15:12:42;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 552; VERSIA:; KPV:29.08.2024 15:16:28;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 562; VERSIA:; KPV:29.08.2024 15:16:28;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 565; VERSIA:; KPV:29.08.2024 15:16:28;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 566; VERSIA:; KPV:29.08.2024 15:16:28;
ERROR NR.:      1925; MESS:Unknown member TEST.; CODE:&lcString; PROC:CONNECT.CREATE_MENU_FROM_MODEL; LINE:       109; ALIAS:CURMENUREMOTE recno: 567; VERSIA:; KPV:29.08.2024 15:16:28;
ERROR NR.:      1925; MESS:Unknown member GRID1.; CODE:Thisform.grid1.AllowAddNew = !Thisform.suletud; PROC:is_period; LINE:         3; ALIAS:TMP_PERIOD recno: 1; VERSIA:; KPV:29.08.2024 15:17:18;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:17:24;
ERROR NR.:      1925; MESS:Unknown member PAGEFRAME1.; CODE:this.Visible = thisform.paGEFRAME1.ActivePage = 1; PROC:refresh; LINE:         1; ALIAS: recno: 0; VERSIA:; KPV:29.08.2024 15:17:24;
ERROR NR.:      1734; MESS:Property DOK is not found.; CODE:IF EMPTY(thisform.dok); PROC:requery; LINE:         5; ALIAS:COMDOKPROP recno: 1; VERSIA:; KPV:29.08.2024 15:17:27;
